Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x553ca0>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.8, 3.0): 3.874359668185539
(2.8, 3.1): 2.570010326277792
(2.8, 3.2): 1.4497723777810436
(2.8, 3.3): 0.49171188098352037
(2.8, 3.4): -0.3234668639367377
(2.8, 3.5): -1.0129372081586638
(2.8, 3.6): -1.5920953628830392
(2.8, 3.7): -2.0747966019146142
(2.8, 3.8): -2.4735230039116565
(2.8, 3.9): -2.7995090404583634
(2.8, 4.0): -3.0628417896653124
(2.8, 4.1): -3.272546241176328
(2.8, 4.2): -3.4366620239808454
(2.8, 4.3): -3.5623152225090613
(2.8, 4.4): -3.6557872607764375
(2.8, 4.5): -3.7225817944004658
(2.8, 4.6): -3.7674899292642494
(2.8, 4.7): -3.7946537304474255
(2.8, 4.8): -3.807627795472445
(2.8, 4.9): -3.809438577210338
(2.8, 5.0): -3.802641114103031
(2.8, 5.1): -3.789372835134373
(2.8, 5.2): -3.7714041408696564
(2.8, 5.3): -3.7501855121952765
(2.8, 5.4): -3.726890960497844
(2.8, 5.5): -3.7024577027943324
(2.8, 5.6): -3.677622018935662
(2.8, 5.7): -3.6529513214749256
(2.8, 5.8): -3.6288725377186206
(2.8, 5.9): -3.605696964613766
(2.8, 6.0): -3.583641807338455
(2.9, 3.0): 2.0500751572651064
(2.9, 3.1): 1.003936934695756
(2.9, 3.2): 0.10962283496414287
(2.9, 3.3): -0.6513042133966703
(2.9, 3.4): -1.2948918885708411
(2.9, 3.5): -1.8353223998408459
(2.9, 3.6): -2.2852593109164214
(2.9, 3.7): -2.6560801283447053
(2.9, 3.8): -2.9580363011846154
(2.9, 3.9): -3.200367920363269
(2.9, 4.0): -3.391390747977439
(2.9, 4.1): -3.5385667602719293
(2.9, 4.2): -3.6485651288502576
(2.9, 4.3): -3.7273177876653936
(2.9, 4.4): -3.7800719532433855
(2.9, 4.5): -3.811440848922878
(2.9, 4.6): -3.8254532022378775
(2.9, 4.7): -3.8256016826488515
(2.9, 4.8): -3.814890220394829
(2.9, 4.9): -3.7958800276000173
(2.9, 5.0): -3.770734086524273
