Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: vasp
size: (1, 1, 1)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.793: -2.3818572575 (13.642329564)
3.794: -2.38799421 (13.653122546)
3.795: -2.3940005125 (13.663921219)
3.796: -2.40019791 (13.674725584)
3.797: -2.4061400975 (13.685535643)
3.798: -2.4121145275 (13.696351398)
3.799: -2.4179936675 (13.70717285)
3.8: -2.4240431325 (13.718)
3.801: -2.429859115 (13.72883285)
3.802: -2.435809705 (13.739671402)
3.803: -2.44156306 (13.750515657)
3.804: -2.4473515 (13.761365616)
3.805: -2.4530429875 (13.772221281)
3.806: -2.45880002 (13.783082654)
3.807: -2.4644299175 (13.793949736)
3.808: -2.47016513 (13.804822528)
3.809: -2.4757336775 (13.815701032)
3.81: -2.4814223225 (13.82658525)
3.811: -2.48692983 (13.837475183)
3.812: -2.4925538175 (13.848370832)
3.813: -2.4980006875 (13.859272199)
3.814: -2.5035857075 (13.870179286)
3.815: -2.5089722625 (13.881092094)
3.816: -2.5143887775 (13.892010624)
3.817: -2.5197156825 (13.902934878)
3.818: -2.525012995 (13.913864858)
3.819: -2.5304075325 (13.924800565)
3.82: -2.53564552 (13.935742)
3.821: -2.541064995 (13.946689165)
3.822: -2.5462435825 (13.957642062)
3.823: -2.55148254 (13.968600692)
3.824: -2.5566024925 (13.979565056)
3.825: -2.561820665 (13.990535156)
3.826: -2.5668822225 (14.001510994)
3.827: -2.5721666325 (14.012492571)
3.828: -2.5771697325 (14.023479888)
3.829: -2.582208395 (14.034472947)
3.83: -2.5871540325 (14.04547175)
3.831: -2.5921696625 (14.056476298)
3.832: -2.5970580575 (14.067486592)
3.833: -2.6021213425 (14.078502634)
3.834: -2.6069524875 (14.089524426)
3.835: -2.6118240125 (14.100551969)
3.836: -2.6165986675 (14.111585264)
3.837: -2.62151659 (14.122624313)
3.838: -2.6262347075 (14.133669118)
3.839: -2.6311454325 (14.14471968)
3.84: -2.6358072375 (14.155776)
3.841: -2.6405909 (14.16683808)
3.842: -2.6451969325 (14.177905922)
3.843: -2.6499498475 (14.188979527)
3.844: -2.6545003025 (14.200058896)
3.845: -2.6591109775 (14.211144031)
3.846: -2.6636064125 (14.222234934)
3.847: -2.6681458125 (14.233331606)
3.848: -2.6725865675 (14.244434048)
3.849: -2.6771501475 (14.255542262)
3.85: -2.6815362975 (14.26665625)
3.851: -2.686073885 (14.277776013)
3.852: -2.69052957 (14.288901552)
3.853: -2.695049695 (14.300032869)
3.854: -2.6994514975 (14.311169966)
3.855: -2.7039732725 (14.322312844)
3.856: -2.708321305 (14.333461504)
3.857: -2.71286044 (14.344615948)
3.858: -2.7171548075 (14.355776178)
3.859: -2.7214853575 (14.366942195)
3.86: -2.725726845 (14.378114)
3.861: -2.7300676425 (14.389291595)
3.862: -2.734256395 (14.400474982)
3.863: -2.738697595 (14.411664162)
3.864: -2.742833365 (14.422859136)
3.865: -2.7469998825 (14.434059906)
3.866: -2.751083695 (14.445266474)
3.867: -2.755263745 (14.456478841)
3.868: -2.7592956625 (14.467697008)
