Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x553070>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.801, 4.64): -3.7813769181230006
(2.801, 4.641): -3.7816593217502943
(2.801, 4.642): -3.7819401121158123
(2.801, 4.643): -3.782219292807131
(2.801, 4.644): -3.7824968674103756
(2.801, 4.645): -3.782772839500947
(2.801, 4.646): -3.7830472126515797
(2.801, 4.647): -3.7833199904276547
(2.801, 4.648): -3.7835911763906536
(2.801, 4.649): -3.7838607740968926
(2.801, 4.65): -3.78412878709332
(2.801, 4.651): -3.7843952189263703
(2.801, 4.652): -3.7846600731327644
(2.801, 4.653): -3.784923353246823
(2.801, 4.654): -3.7851850627943064
(2.801, 4.655): -3.7854452052990504
(2.801, 4.656): -3.7857037842745522
(2.801, 4.657): -3.7859608032332766
(2.801, 4.658): -3.7862162656820053
(2.801, 4.659): -3.7864701751173873
(2.801, 4.66): -3.7867225350353144
(2.801, 4.661): -3.786973348925531
(2.801, 4.662): -3.78722262026771
(2.801, 4.663): -3.787470352544234
(2.801, 4.664): -3.787716549222376
(2.801, 4.665): -3.787961213771769
(2.801, 4.666): -3.7882043496530184
(2.801, 4.667): -3.78844596032285
(2.801, 4.668): -3.7886860492291703
(2.801, 4.669): -3.7889246198196
(2.801, 4.67): -3.789161675531765
(2.801, 4.671): -3.78939721979983
(2.801, 4.672): -3.7896312560524152
(2.801, 4.673): -3.7898637877124246
(2.801, 4.674): -3.7900948181973817
(2.801, 4.675): -3.7903243509203146
(2.801, 4.676): -3.7905523892864226
(2.801, 4.677): -3.7907789366990983
(2.801, 4.678): -3.791003996552272
(2.801, 4.679): -3.7912275722382187
(2.801, 4.68): -3.7914496671408995
(2.801, 4.681): -3.7916702846407335
(2.801, 4.682): -3.7918894281101867
(2.801, 4.683): -3.792107100920973
(2.801, 4.684): -3.792323306435727
(2.801, 4.685): -3.7925380480128377
(2.801, 4.686): -3.7927513290045773
(2.801, 4.687): -3.7929631527585674
(2.801, 4.688): -3.793173522616363
(2.801, 4.689): -3.793382441916711
(2.801, 4.69): -3.7935899139914637
(2.801, 4.691): -3.7937959421636465
(2.801, 4.692): -3.7940005297563464
(2.801, 4.693): -3.7942036800837275
(2.801, 4.694): -3.794405396457923
(2.801, 4.695): -3.7946056821820546
(2.801, 4.696): -3.7948045405573696
(2.801, 4.697): -3.79500197487573
(2.801, 4.698): -3.795197988430348
(2.801, 4.699): -3.7953925844995307
(2.801, 4.7): -3.7955857663663353
(2.801, 4.701): -3.7957775373002653
(2.801, 4.702): -3.795967900572567
(2.801, 4.703): -3.7961568594429407
(2.801, 4.704): -3.7963444171714573
(2.801, 4.705): -3.796530577009306
(2.801, 4.706): -3.796715342201753
(2.801, 4.707): -3.79689871599129
(2.801, 4.708): -3.797080701616694
(2.801, 4.709): -3.7972613023057877
(2.801, 4.71): -3.797440521287134
(2.801, 4.711): -3.7976183617791683
(2.801, 4.712): -3.7977948269981785
(2.801, 4.713): -3.7979699201555865
(2.801, 4.714): -3.7981436444560903
(2.801, 4.715): -3.7983160030998557
(2.801, 4.716): -3.798486999279846
(2.801, 4.717): -3.7986566361875065
(2.801, 4.718): -3.798824917008281
(2.801, 4.719): -3.7989918449171753
(2.801, 4.72): -3.7991574230931016
(2.801, 4.721): -3.799321654701661
(2.801, 4.722): -3.7994845429079898
(2.801, 4.723): -3.7996460908696275
(2.801, 4.724): -3.7998063017433843
