Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: vasp
size: (1, 1, 1)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.8, 3.9): -1.840212775
(2.8, 4.0): -2.13975657
(2.8, 4.1): -2.387490995
(2.8, 4.2): -2.587838755
(2.8, 4.3): -2.7487667
(2.8, 4.4): -2.863708955
(2.8, 4.5): -2.96336148
(2.8, 4.6): -3.043306765
(2.8, 4.7): -3.10188654
(2.8, 4.8): -3.144462855
(2.8, 4.9): -3.163280365
(2.8, 5.0): -3.179086215
(2.8, 5.1): -3.182010105
(2.8, 5.2): -3.183806215
(2.8, 5.3): -3.183113615
(2.8, 5.4): -3.17358024
(2.8, 5.5): -3.163043825
(2.8, 5.6): -3.14642829
(2.8, 5.7): -3.13116029
(2.8, 5.8): -3.103589
(2.8, 5.9): -3.082519255
(2.8, 6.0): -3.06441887
(2.9, 3.0): 2.98139912
(2.9, 3.1): 1.974039025
(2.9, 3.2): 1.10405303
(2.9, 3.3): 0.35331969
(2.9, 3.4): -0.29254226
(2.9, 3.5): -0.840130545
(2.9, 3.6): -1.311793035
(2.9, 3.7): -1.70733333
(2.9, 3.8): -2.03630486
(2.9, 3.9): -2.30428238
(2.9, 4.0): -2.53373532
(2.9, 4.1): -2.717000725
(2.9, 4.2): -2.861384965
(2.9, 4.3): -2.97226709
(2.9, 4.4): -3.060406265
(2.9, 4.5): -3.126400655
(2.9, 4.6): -3.17058427
(2.9, 4.7): -3.199347165
(2.9, 4.8): -3.21164536
(2.9, 4.9): -3.219912925
(2.9, 5.0): -3.21342115
(2.9, 5.1): -3.202255685
(2.9, 5.2): -3.19155973
(2.9, 5.3): -3.181377495
(2.9, 5.4): -3.16259816
(2.9, 5.5): -3.1395276
(2.9, 5.6): -3.113548345
(2.9, 5.7): -3.08541754
(2.9, 5.8): -3.05519481
(2.9, 5.9): -3.02593938
(2.9, 6.0): -3.00169031
(3.0, 3.0): 1.564111815
(3.0, 3.1): 0.753958655
(3.0, 3.2): 0.05449408
(3.0, 3.3): -0.546265465
(3.0, 3.4): -1.06134017
(3.0, 3.5): -1.492206185
(3.0, 3.6): -1.856772065
(3.0, 3.7): -2.165964945
(3.0, 3.8): -2.41915608
(3.0, 3.9): -2.623041445
(3.0, 4.0): -2.78719778
(3.0, 4.1): -2.91776341
(3.0, 4.2): -3.021062835
(3.0, 4.3): -3.09591506
(3.0, 4.4): -3.145650095
(3.0, 4.5): -3.17939208
(3.0, 4.6): -3.2033672
(3.0, 4.7): -3.21079094
(3.0, 4.8): -3.208469655
(3.0, 4.9): -3.197473115
(3.0, 5.0): -3.17889612
(3.0, 5.1): -3.157631045
(3.0, 5.2): -3.13145509
(3.0, 5.3): -3.10230831
(3.0, 5.4): -3.07070405
(3.0, 5.5): -3.04287877
(3.0, 5.6): -3.012644875
(3.0, 5.7): -2.98065443
(3.0, 5.8): -2.94721814
(3.0, 5.9): -2.91680736
(3.0, 6.0): -2.887867145
(3.1, 3.0): 0.434919165
(3.1, 3.1): -0.21017226
(3.1, 3.2): -0.76570683
(3.1, 3.3): -1.238752575
(3.1, 3.4): -1.64012343
(3.1, 3.5): -1.97629497
(3.1, 3.6): -2.254980615
(3.1, 3.7): -2.486407075
(3.1, 3.8): -2.67324849
(3.1, 3.9): -2.823137795
(3.1, 4.0): -2.93724775
(3.1, 4.1): -3.026247775
(3.1, 4.2): -3.09067163
(3.1, 4.3): -3.13364122
(3.1, 4.4): -3.157812485
(3.1, 4.5): -3.16712245
(3.1, 4.6): -3.16760032
(3.1, 4.7): -3.15701465
(3.1, 4.8): -3.137934025
(3.1, 4.9): -3.113020855
(3.1, 5.0): -3.08676474
(3.1, 5.1): -3.05463378
(3.1, 5.2): -3.017559825
(3.1, 5.3): -2.97784054
(3.1, 5.4): -2.9390046
(3.1, 5.5): -2.90341779
(3.1, 5.6): -2.866057555
(3.1, 5.7): -2.828359135
(3.1, 5.8): -2.79346547
(3.1, 5.9): -2.76170429
(3.1, 6.0): -2.72714669
(3.2, 3.0): -0.46350405
(3.2, 3.1): -0.972428845
(3.2, 3.2): -1.40847663
(3.2, 3.3): -1.774208765
(3.2, 3.4): -2.07876589
(3.2, 3.5): -2.330558415
(3.2, 3.6): -2.542229835
(3.2, 3.7): -2.710947675
(3.2, 3.8): -2.84385013
(3.2, 3.9): -2.940733765
(3.2, 4.0): -3.01676955
(3.2, 4.1): -3.072886915
(3.2, 4.2): -3.10574616
(3.2, 4.3): -3.123052325
(3.2, 4.4): -3.121073515
(3.2, 4.5): -3.11553662
(3.2, 4.6): -3.097871805
(3.2, 4.7): -3.071028995
(3.2, 4.8): -3.0390271
(3.2, 4.9): -3.005668035
(3.2, 5.0): -2.965737055
(3.2, 5.1): -2.92167675
(3.2, 5.2): -2.87480495
(3.2, 5.3): -2.831945615
(3.2, 5.4): -2.79094565
(3.2, 5.5): -2.748505595
(3.2, 5.6): -2.705548565
(3.2, 5.7): -2.665044825
(3.2, 5.8): -2.626930655
(3.2, 5.9): -2.586878295
(3.2, 6.0): -2.54735316
(3.3, 3.0): -1.168027635
(3.3, 3.1): -1.56601286
(3.3, 3.2): -1.901647565
(3.3, 3.3): -2.1790059
(3.3, 3.4): -2.40656806
(3.3, 3.5): -2.587231145
(3.3, 3.6): -2.737353935
(3.3, 3.7): -2.856856935
(3.3, 3.8): -2.946147645
(3.3, 3.9): -3.002178895
(3.3, 4.0): -3.04539361
(3.3, 4.1): -3.071786065
(3.3, 4.2): -3.081073715
(3.3, 4.3): -3.07677588
(3.3, 4.4): -3.055255395
(3.3, 4.5): -3.03121937
(3.3, 4.6): -3.00230237
(3.3, 4.7): -2.96489449
(3.3, 4.8): -2.92238901
(3.3, 4.9): -2.87054045
(3.3, 5.0): -2.822320635
(3.3, 5.1): -2.771203035
(3.3, 5.2): -2.724101275
(3.3, 5.3): -2.67773402
(3.3, 5.4): -2.630150865
(3.3, 5.5): -2.585981895
(3.3, 5.6): -2.540450985
(3.3, 5.7): -2.496561005
(3.3, 5.8): -2.44663377
(3.3, 5.9): -2.404427925
(3.3, 6.0): -2.36453799
(3.4, 3.0): -1.713479095
(3.4, 3.1): -2.0175297
(3.4, 3.2): -2.26689788
(3.4, 3.3): -2.47109357
(3.4, 3.4): -2.634571875
(3.4, 3.5): -2.7625667
(3.4, 3.6): -2.861606505
(3.4, 3.7): -2.936441095
(3.4, 3.8): -2.98697392
(3.4, 3.9): -3.017084185
(3.4, 4.0): -3.032298755
(3.4, 4.1): -3.032363765
(3.4, 4.2): -3.021322685
(3.4, 4.3): -2.996798075
(3.4, 4.4): -2.966273395
(3.4, 4.5): -2.927400835
(3.4, 4.6): -2.884742525
(3.4, 4.7): -2.837680985
(3.4, 4.8): -2.785059525
(3.4, 4.9): -2.73257282
(3.4, 5.0): -2.67651887
(3.4, 5.1): -2.62038318
(3.4, 5.2): -2.569058235
(3.4, 5.3): -2.517976985
(3.4, 5.4): -2.46548414
(3.4, 5.5): -2.41559028
(3.4, 5.6): -2.367798205
(3.4, 5.7): -2.31960631
(3.4, 5.8): -2.27292853
(3.4, 5.9): -2.22751799
(3.4, 6.0): -2.186406845
(3.5, 3.0): -2.13482368
(3.5, 3.1): -2.356293825
(3.5, 3.2): -2.538112625
(3.5, 3.3): -2.68179736
(3.5, 3.4): -2.793026805
(3.5, 3.5): -2.87601081
(3.5, 3.6): -2.933097095
(3.5, 3.7): -2.97351245
(3.5, 3.8): -2.993614115
(3.5, 3.9): -3.00092545
(3.5, 4.0): -2.990739525
(3.5, 4.1): -2.97328722
(3.5, 4.2): -2.94532916
(3.5, 4.3): -2.90805668
(3.5, 4.4): -2.86526468
(3.5, 4.5): -2.81592037
(3.5, 4.6): -2.76534715
(3.5, 4.7): -2.71035136
(3.5, 4.8): -2.65301205
(3.5, 4.9): -2.594447465
(3.5, 5.0): -2.535980635
(3.5, 5.1): -2.47944409
(3.5, 5.2): -2.42096035
(3.5, 5.3): -2.36232281
(3.5, 5.4): -2.306613105
(3.5, 5.5): -2.255691675
(3.5, 5.6): -2.20485702
(3.5, 5.7): -2.1553084
(3.5, 5.8): -2.10785378
(3.5, 5.9): -2.066205655
(3.5, 6.0): -2.0241182
(3.6, 3.0): -2.446706
(3.6, 3.1): -2.60153031
(3.6, 3.2): -2.72971712
(3.6, 3.3): -2.822754735
(3.6, 3.4): -2.893530035
(3.6, 3.5): -2.93437623
(3.6, 3.6): -2.96250337
(3.6, 3.7): -2.97515174
(3.6, 3.8): -2.97135849
(3.6, 3.9): -2.95466707
(3.6, 4.0): -2.926147835
(3.6, 4.1): -2.897200305
(3.6, 4.2): -2.85642269
(3.6, 4.3): -2.81022032
(3.6, 4.4): -2.752961245
(3.6, 4.5): -2.69972311
(3.6, 4.6): -2.64434144
(3.6, 4.7): -2.58268813
(3.6, 4.8): -2.5230657
(3.6, 4.9): -2.46243427
(3.6, 5.0): -2.4029566
(3.6, 5.1): -2.337991475
(3.6, 5.2): -2.27467114
(3.6, 5.3): -2.212236285
(3.6, 5.4): -2.157338515
(3.6, 5.5): -2.1054707
(3.6, 5.6): -2.05245009
(3.6, 5.7): -2.002226915
(3.6, 5.8): -1.959191665
(3.6, 5.9): -1.9130671
(3.6, 6.0): -1.86666208
(3.7, 3.0): -2.671784515
(3.7, 3.1): -2.778193915
(3.7, 3.2): -2.85799719
(3.7, 3.3): -2.912868205
(3.7, 3.4): -2.945904185
(3.7, 3.5): -2.95677435
(3.7, 3.6): -2.96150826
(3.7, 3.7): -2.95128722
(3.7, 3.8): -2.928495985
(3.7, 3.9): -2.890553075
(3.7, 4.0): -2.853336385
(3.7, 4.1): -2.81014538
(3.7, 4.2): -2.760835415
(3.7, 4.3): -2.706310455
(3.7, 4.4): -2.6424433
(3.7, 4.5): -2.584952525
(3.7, 4.6): -2.52411403
(3.7, 4.7): -2.46087402
(3.7, 4.8): -2.396306165
(3.7, 4.9): -2.333936205
(3.7, 5.0): -2.268954275
(3.7, 5.1): -2.20092967
(3.7, 5.2): -2.137148715
(3.7, 5.3): -2.07817515
(3.7, 5.4): -2.02211466
(3.7, 5.5): -1.966856835
(3.7, 5.6): -1.913822525
(3.7, 5.7): -1.86311113
(3.7, 5.8): -1.81583532
(3.7, 5.9): -1.766779985
(3.7, 6.0): -1.71891972
(3.8, 3.0): -2.83182846
(3.8, 3.1): -2.89529475
(3.8, 3.2): -2.93807864
(3.8, 3.3): -2.959780545
(3.8, 3.4): -2.96311517
(3.8, 3.5): -2.950511675
(3.8, 3.6): -2.933713225
(3.8, 3.7): -2.90640489
(3.8, 3.8): -2.87011461
(3.8, 3.9): -2.817788705
(3.8, 4.0): -2.76940445
(3.8, 4.1): -2.718355775
(3.8, 4.2): -2.661120855
(3.8, 4.3): -2.60070017
(3.8, 4.4): -2.532400315
(3.8, 4.5): -2.470060075
(3.8, 4.6): -2.40696783
(3.8, 4.7): -2.34238329
(3.8, 4.8): -2.275493065
(3.8, 4.9): -2.204910725
(3.8, 5.0): -2.141532535
(3.8, 5.1): -2.07495654
(3.8, 5.2): -2.01338757
(3.8, 5.3): -1.95454777
(3.8, 5.4): -1.89749695
(3.8, 5.5): -1.843074095
(3.8, 5.6): -1.78903359
(3.8, 5.7): -1.738121085
(3.8, 5.8): -1.683393555
(3.8, 5.9): -1.634549415
(3.8, 6.0): -1.59065121
(3.9, 3.0): -2.934105765
(3.9, 3.1): -2.95923244
(3.9, 3.2): -2.96742736
(3.9, 3.3): -2.961013
(3.9, 3.4): -2.938531655
(3.9, 3.5): -2.914935145
(3.9, 3.6): -2.87636773
(3.9, 3.7): -2.83598131
(3.9, 3.8): -2.785960445
(3.9, 3.9): -2.733377535
(3.9, 4.0): -2.67128514
(3.9, 4.1): -2.610743825
(3.9, 4.2): -2.54746395
(3.9, 4.3): -2.48065428
(3.9, 4.4): -2.416827635
(3.9, 4.5): -2.347402065
(3.9, 4.6): -2.283221545
(3.9, 4.7): -2.21598111
(3.9, 4.8): -2.146802255
(3.9, 4.9): -2.08332363
(3.9, 5.0): -2.019404745
(3.9, 5.1): -1.958170275
(3.9, 5.2): -1.895733745
(3.9, 5.3): -1.834020365
(3.9, 5.4): -1.77316194
(3.9, 5.5): -1.71936871
(3.9, 5.6): -1.66431773
(3.9, 5.7): -1.611979135
(3.9, 5.8): -1.562183775
(3.9, 5.9): -1.5173049
(3.9, 6.0): -1.474108585
(4.0, 3.0): -2.991917885
(4.0, 3.1): -2.983476695
(4.0, 3.2): -2.966720045
(4.0, 3.3): -2.939597995
(4.0, 3.4): -2.903911255
(4.0, 3.5): -2.858040995
(4.0, 3.6): -2.80381238
(4.0, 3.7): -2.75637674
(4.0, 3.8): -2.69623852
(4.0, 3.9): -2.63955918
(4.0, 4.0): -2.568819255
(4.0, 4.1): -2.50270393
(4.0, 4.2): -2.43909938
(4.0, 4.3): -2.36749859
(4.0, 4.4): -2.29886865
(4.0, 4.5): -2.22749045
(4.0, 4.6): -2.16526091
(4.0, 4.7): -2.099013925
(4.0, 4.8): -2.03081361
(4.0, 4.9): -1.974704075
(4.0, 5.0): -1.914638905
(4.0, 5.1): -1.850853945
(4.0, 5.2): -1.78352021
(4.0, 5.3): -1.71848622
(4.0, 5.4): -1.657642355
(4.0, 5.5): -1.606883635
(4.0, 5.6): -1.556219525
(4.0, 5.7): -1.50175105
(4.0, 5.8): -1.464889005
(4.0, 5.9): -1.419737415
(4.0, 6.0): -1.370448675
(4.1, 3.0): -3.008974795
(4.1, 3.1): -2.98479851
(4.1, 3.2): -2.95539703
(4.1, 3.3): -2.908475045
(4.1, 3.4): -2.85696097
(4.1, 3.5): -2.789057135
(4.1, 3.6): -2.73583627
(4.1, 3.7): -2.677641895
(4.1, 3.8): -2.615101055
(4.1, 3.9): -2.536420765
(4.1, 4.0): -2.47176669
(4.1, 4.1): -2.40935825
(4.1, 4.2): -2.33892243
(4.1, 4.3): -2.272280185
(4.1, 4.4): -2.191375705
(4.1, 4.5): -2.127665725
(4.1, 4.6): -2.06446848
(4.1, 4.7): -1.99712287
(4.1, 4.8): -1.934581845
(4.1, 4.9): -1.872200885
(4.1, 5.0): -1.810221165
(4.1, 5.1): -1.742151745
(4.1, 5.2): -1.67387044
(4.1, 5.3): -1.61906371
(4.1, 5.4): -1.56743425
(4.1, 5.5): -1.51790252
(4.1, 5.6): -1.464624025
(4.1, 5.7): -1.41754463
(4.1, 5.8): -1.373439765
(4.1, 5.9): -1.323134345
(4.1, 6.0): -1.272094785
(4.2, 3.0): -2.999937835
(4.2, 3.1): -2.967608055
(4.2, 3.2): -2.92074303
