Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x5513f0>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.986: -3.7884602351478014 (15.832587314)
3.987: -3.7894663762890257 (15.844506451)
3.988: -3.790458402454921 (15.856431568)
3.989: -3.7914363626700966 (15.868362667)
3.99: -3.7924003058171776 (15.88029975)
3.991: -3.793350280635872 (15.892242818)
3.992: -3.7942863357288825 (15.904191872)
3.993: -3.795208519555212 (15.916146914)
3.994: -3.7961168804358754 (15.928107946)
3.995: -3.797011466553041 (15.940074969)
3.996: -3.7978923259475037 (15.952047984)
3.997: -3.798759506524335 (15.964026993)
3.998: -3.7996130560481296 (15.976011998)
3.999: -3.8004530221462063 (15.988003)
4.0: -3.801279452309016 (16.0)
4.001: -3.802092393887624 (16.012003)
4.002: -3.802891894099929 (16.024012002)
4.003: -3.8036780000238615 (16.036027007)
4.004: -3.8044507586036103 (16.048048016)
4.005: -3.805210216646106 (16.060075031)
4.006: -3.8059564208251615 (16.072108054)
4.007: -3.8066894176772337 (16.084147086)
4.008: -3.8074092536057607 (16.096192128)
4.009: -3.808115974878456 (16.108243182)
4.01: -3.8088096276315975 (16.12030025)
4.011: -3.8094902578667584 (16.132363333)
4.012: -3.810157911451355 (16.144432432)
4.013: -3.8108126341211577 (16.156507549)
4.014: -3.811454471479464 (16.168588686)
4.015: -3.8120834689983965 (16.180675844)
4.016: -3.8126996720169695 (16.192769024)
4.017: -3.813303125743886 (16.204868228)
4.018: -3.8138938752559532 (16.216973458)
4.019: -3.8144719655005943 (16.229084715)
4.02: -3.815037441293949 (16.241202)
4.021: -3.8155903473230657 (16.253325315)
4.022: -3.8161307281448105 (16.265454662)
4.023: -3.8166586281890735 (16.277590042)
4.024: -3.817174091753161 (16.289731456)
4.025: -3.8176771630083004 (16.301878906)
4.026: -3.818167885998627 (16.314032394)
4.027: -3.818646304638577 (16.326191921)
4.028: -3.81911246271547 (16.338357488)
4.029: -3.819566403890235 (16.350529097)
4.03: -3.8200081716967302 (16.36270675)
4.031: -3.820437809542908 (16.374890448)
4.032: -3.820855360709553 (16.387080192)
4.033: -3.8212608683538063 (16.399275984)
4.034: -3.8216543755061156 (16.411477826)
4.035: -3.8220359250717597 (16.423685719)
4.036: -3.822405559831632 (16.435899664)
4.037: -3.822763322443369 (16.448119663)
4.038: -3.823109255439591 (16.460345718)
4.039: -3.8234434012284497 (16.47257783)
4.04: -3.823765802097209 (16.484816)
4.041: -3.8240765002084327 (16.49706023)
4.042: -3.824375537602816 (16.509310522)
4.043: -3.8246629561981917 (16.521566877)
4.044: -3.824938797791655 (16.533829296)
4.045: -3.8252031040560635 (16.546097781)
4.046: -3.825455916547064 (16.558372334)
4.047: -3.8256972766957906 (16.570652956)
4.048: -3.8259272258146595 (16.582939648)
4.049: -3.8261458050948223 (16.595232412)
4.05: -3.826353055608797 (16.60753125)
4.051: -3.8265490183080297 (16.619836163)
4.052: -3.8267337340261234 (16.632147152)
4.053: -3.8269072434760623 (16.644464219)
4.054: -3.8270695872542704 (16.656787366)
4.055: -3.8272208058365402 (16.669116594)
4.056: -3.8273609395819284 (16.681451904)
4.057: -3.827490028732456 (16.693793298)
4.058: -3.8276081134118822 (16.706140778)
4.059: -3.8277152336272513 (16.718494345)
4.06: -3.8278114292693997 (16.730854)
4.061: -3.827896740111071 (16.743219745)
4.062: -3.8279712058105355 (16.755591582)
4.063: -3.828034865910465 (16.767969512)
4.064: -3.8280877598376026 (16.780353536)
4.065: -3.828129926903756 (16.792743656)
4.066: -3.828161406305181 (16.805139874)
4.067: -3.828182237124305 (16.817542191)
4.068: -3.8281924583297045 (16.829950608)
4.069: -3.828192108775946 (16.842365127)
4.07: -3.8281812272033404 (16.85478575)
4.071: -3.8281598522394207 (16.867212478)
4.072: -3.828128022400146 (16.879645312)
4.073: -3.82808577608728 (16.892084254)
4.074: -3.8280331515893544 (16.904529306)
