Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x552530>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.986: -3.7884602351478014 (15.832587314)
3.987: -3.7894663762890253 (15.844506451)
3.988: -3.7904584024549215 (15.856431568)
3.989: -3.7914363626700966 (15.868362667)
3.99: -3.792400305817177 (15.88029975)
3.991: -3.7933502806358725 (15.892242818)
3.992: -3.7942863357288825 (15.904191872)
3.993: -3.795208519555212 (15.916146914)
3.994: -3.7961168804358754 (15.928107946)
3.995: -3.797011466553041 (15.940074969)
3.996: -3.797892325947504 (15.952047984)
3.997: -3.7987595065243354 (15.964026993)
3.998: -3.7996130560481296 (15.976011998)
3.999: -3.8004530221462063 (15.988003)
4.0: -3.801279452309016 (16.0)
4.001: -3.8020923938876248 (16.012003)
4.002: -3.802891894099928 (16.024012002)
4.003: -3.803678000023862 (16.036027007)
4.004: -3.80445075860361 (16.048048016)
4.005: -3.805210216646107 (16.060075031)
4.006: -3.8059564208251606 (16.072108054)
4.007: -3.8066894176772332 (16.084147086)
4.008: -3.80740925360576 (16.096192128)
4.009: -3.8081159748784565 (16.108243182)
4.01: -3.8088096276315984 (16.12030025)
4.011: -3.8094902578667584 (16.132363333)
4.012: -3.810157911451355 (16.144432432)
4.013: -3.8108126341211572 (16.156507549)
4.014: -3.811454471479464 (16.168588686)
4.015: -3.8120834689983965 (16.180675844)
4.016: -3.8126996720169695 (16.192769024)
4.017: -3.8133031257438854 (16.204868228)
4.018: -3.813893875255953 (16.216973458)
4.019: -3.8144719655005948 (16.229084715)
4.02: -3.815037441293949 (16.241202)
4.021: -3.8155903473230657 (16.253325315)
4.022: -3.816130728144811 (16.265454662)
4.023: -3.8166586281890726 (16.277590042)
4.024: -3.817174091753161 (16.289731456)
4.025: -3.817677163008301 (16.301878906)
