Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x54ae60>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

Lattice constant (c)/Ang: Energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
3.875: -3.5765559326682936 (14.546386719)
3.876: -3.579469408966792 (14.557651344)
3.877: -3.5823623521714367 (14.568921783)
3.878: -3.5852348296611805 (14.580198038)
3.879: -3.5880869086232483 (14.59148011)
3.88: -3.5909186560547495 (14.602768)
3.881: -3.593730138760394 (14.61406171)
3.882: -3.5965214233578537 (14.625361242)
3.883: -3.5992925762725063 (14.636666597)
3.884: -3.6020436637427258 (14.647977776)
3.885: -3.6047747518186135 (14.659294781)
3.886: -3.6074859063614197 (14.670617614)
3.887: -3.6101771930462903 (14.681946276)
3.888: -3.612848677361365 (14.693280768)
3.889: -3.615500424606862 (14.704621092)
3.89: -3.618132499899755 (14.71596725)
3.891: -3.620744968170081 (14.727319243)
3.892: -3.62333789416382 (14.738677072)
3.893: -3.6259113424425284 (14.750040739)
3.894: -3.6284653773840607 (14.761410246)
3.895: -3.631000063182497 (14.772785594)
3.896: -3.633515463850822 (14.784166784)
3.897: -3.6360116432169907 (14.795553818)
3.898: -3.638488664930171 (14.806946698)
3.899: -3.6409465924557876 (14.818345425)
3.9: -3.6433854890815005 (14.82975)
3.901: -3.6458054179109833 (14.841160425)
3.902: -3.6482064418705704 (14.852576702)
3.903: -3.6505886237069003 (14.863998832)
3.904: -3.6529520259882786 (14.875426816)
3.905: -3.6552967111036843 (14.886860656)
3.906: -3.6576227412641833 (14.898300354)
3.907: -3.659930178504483 (14.909745911)
3.908: -3.6622190846815252 (14.921197328)
3.909: -3.664489521477567 (14.932654607)
3.91: -3.666741550396186 (14.94411775)
3.911: -3.668975232767875 (14.955586758)
3.912: -3.6711906297477817 (14.967061632)
3.913: -3.673387802315213 (14.978542374)
3.914: -3.675566811277793 (14.990028986)
3.915: -3.6777277172671865 (15.001521469)
3.916: -3.6798705807432452 (15.013019824)
3.917: -3.6819954619937043 (15.024524053)
3.918: -3.684102421133986 (15.036034158)
3.919: -3.686191518107199 (15.04755014)
3.92: -3.688262812685935 (15.059072)
3.921: -3.690316364471195 (15.07059974)
3.922: -3.6923522328957556 (15.082133362)
3.923: -3.6943704772198425 (15.093672867)
3.924: -3.696371156536669 (15.105218256)
3.925: -3.6983543297696766 (15.116769531)
3.926: -3.7003200556737044 (15.128326694)
3.927: -3.7022683928366784 (15.139889746)
3.928: -3.7041993996776053 (15.151458688)
3.929: -3.706113134450414 (15.163033522)
3.93: -3.7080096552400694 (15.17461425)
3.931: -3.7098890199684913 (15.186200873)
3.932: -3.7117512863880586 (15.197793392)
3.933: -3.71359651209021 (15.209391809)
3.934: -3.71542475449822 (15.220996126)
3.935: -3.7172360708723406 (15.232606344)
3.936: -3.71903051831032 (15.244222464)
3.937: -3.720808153744541 (15.255844488)
3.938: -3.7225690339442097 (15.267472418)
3.939: -3.724313215518605 (15.279106255)
3.94: -3.726040754912909 (15.290746)
3.941: -3.7277517084108447 (15.302391655)
3.942: -3.7294461321345196 (15.314043222)
3.943: -3.7311240820473066 (15.325700702)
3.944: -3.7327856139507865 (15.337364096)
3.945: -3.7344307834860007 (15.349033406)
3.946: -3.736059646135738 (15.360708634)
3.947: -3.737672257224305 (15.372389781)
3.948: -3.739268671915823 (15.384076848)
3.949: -3.740848945217292 (15.395769837)
3.95: -3.7424131319781844 (15.40746875)
3.951: -3.7439612868897734 (15.419173588)
3.952: -3.745493464488296 (15.430884352)
3.953: -3.747009719150841 (15.442601044)
3.954: -3.7485101051011105 (15.454323666)
3.955: -3.749994676406031 (15.466052219)
3.956: -3.751463486978169 (15.477786704)
3.957: -3.752916590573909 (15.489527123)
3.958: -3.7543540407964193 (15.501273478)
3.959: -3.755775891094862 (15.51302577)
3.96: -3.7571821947653627 (15.524784)
3.961: -3.7585730049500667 (15.53654817)
3.962: -3.7599483746394813 (15.548318282)
3.963: -3.7613083566716217 (15.560094337)
3.964: -3.7626530037322183 (15.571876336)
3.965: -3.7639823683562104 (15.583664281)
3.966: -3.7652965029269563 (15.595458174)
3.967: -3.7665954596792255 (15.607258016)
3.968: -3.7678792906949647 (15.619063808)
3.969: -3.769148047907828 (15.630875552)
3.97: -3.770401783101897 (15.64269325)
3.971: -3.7716405479128263 (15.654516903)
3.972: -3.772864393826714 (15.666346512)
3.973: -3.7740733721838233 (15.678182079)
3.974: -3.7752675341730555 (15.690023606)
3.975: -3.7764469308402946 (15.701871094)
3.976: -3.777611613080777 (15.713724544)
3.977: -3.778761631645459 (15.725583958)
3.978: -3.779897037138677 (15.737449338)
3.979: -3.781017880019233 (15.749320685)
3.98: -3.782124210600546 (15.761198)
3.981: -3.783216079051272 (15.773081285)
3.982: -3.784293535394783 (15.784970542)
3.983: -3.7853566295121452 (15.796865772)
3.984: -3.786405411137935 (15.808766976)
3.985: -3.7874399298670145 (15.820674156)
3.986: -3.7884602351478014 (15.832587314)
3.987: -3.7894663762890253 (15.844506451)
3.988: -3.790458402454922 (15.856431568)
3.989: -3.7914363626700966 (15.868362667)
3.99: -3.79240030581718 (15.88029975)
3.991: -3.7933502806358725 (15.892242818)
3.992: -3.7942863357288825 (15.904191872)
3.993: -3.795208519555212 (15.916146914)
3.994: -3.796116880435876 (15.928107946)
