Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x592160>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.2, 4.77): 4.425685810677113
(2.2, 4.78): 4.401284931775165
(2.2, 4.79): 4.377335009237562
(2.2, 4.8): 4.35382829818268
(2.2, 4.81): 4.330757176978469
(2.2, 4.82): 4.308114145470243
(2.2, 4.83): 4.2858918232458025
(2.2, 4.84): 4.264082947910858
(2.2, 4.85): 4.242680373383483
(2.2, 4.86): 4.221677068227433
(2.2, 4.87): 4.20106611397198
(2.2, 4.88): 4.180840703488911
(2.2, 4.89): 4.160994139359238
(2.2, 4.9): 4.141519832278768
(2.2, 4.91): 4.122411299472468
(2.2, 4.92): 4.103662163133584
(2.2, 4.93): 4.085266148882512
(2.2, 4.94): 4.067217084237838
(2.2, 4.95): 4.049508897117402
(2.2, 4.96): 4.032135614346741
(2.2, 4.97): 4.0150913601908025
(2.2, 4.98): 3.9983703549149143
(2.2, 4.99): 3.9819669133363824
(2.2, 5.0): 3.965875443432712
(2.2, 5.1): 3.820952803369519
(2.2, 5.2): 3.7017162901981915
(2.2, 5.3): 3.6039085512955062
(2.2, 5.4): 3.523938218674852
(2.2, 5.5): 3.458782210987174
(2.2, 5.6): 3.405901093795079
(2.2, 5.7): 3.3631660395769276
(2.2, 5.8): 3.328796020985327
(2.2, 5.9): 3.3013039768630157
(2.2, 6.0): 3.2794508034458287
(2.3, 3.0): 23.928340712707485
(2.3, 3.1): 20.400300544859522
(2.3, 3.2): 17.346671994695868
(2.3, 3.3): 14.711012598331559
(2.3, 3.4): 12.44269269748403
(2.3, 3.5): 10.496299363308935
(2.3, 3.6): 8.831160616609916
(2.3, 3.7): 7.41094247399282
(2.3, 3.8): 6.203290273011697
(2.3, 3.9): 5.179497864928208
(2.3, 4.0): 4.314195887251162
(2.3, 4.1): 3.5850549796640316
(2.3, 4.2): 2.972502523652019
(2.3, 4.3): 2.459452960060678
(2.3, 4.4): 2.0310524290881475
(2.3, 4.4): 2.0310524290881475
(2.3, 4.41): 1.9923568548835253
(2.3, 4.42): 1.954365855275607
(2.3, 4.43): 1.9170677678196077
(2.3, 4.44): 1.8804511022813233
(2.3, 4.45): 1.8445045385194245
(2.3, 4.46): 1.8092169243902898
(2.3, 4.47): 1.774577273668592
(2.3, 4.48): 1.740574763980054
(2.3, 4.49): 1.7071987347574242
(2.3, 4.5): 1.6744386852102735
(2.3, 4.51): 1.642284272314697
(2.3, 4.52): 1.6107253088140845
(2.3, 4.53): 1.5797517612464815
(2.3, 4.54): 1.5493537479801238
(2.3, 4.55): 1.5195215372728443
(2.3, 4.56): 1.4902455453426053
(2.3, 4.57): 1.461516334462395
(2.3, 4.58): 1.433324611066921
(2.3, 4.59): 1.405661223877568
(2.3, 4.6): 1.3785171620461694
(2.3, 4.61): 1.3518835533162914
(2.3, 4.62): 1.3257516621978798
(2.3, 4.63): 1.3001128881626876
(2.3, 4.64): 1.2749587638591022
(2.3, 4.65): 1.2502809533361205
(2.3, 4.66): 1.2260712502923574
(2.3, 4.67): 1.2023215763401813
(2.3, 4.68): 1.1790239792826471
(2.3, 4.69): 1.1561706314135576
(2.3, 4.7): 1.1337538278312354
(2.3, 4.71): 1.1117659847683663
(2.3, 4.72): 1.0901996379431051
(2.3, 4.73): 1.0690474409206372
(2.3, 4.74): 1.048302163499051
(2.3, 4.75): 1.0279566901044448
(2.3, 4.76): 1.0080040182092325
(2.3, 4.77): 0.9884372567630565
(2.3, 4.78): 0.9692496246418846
(2.3, 4.79): 0.9504344491135511
(2.3, 4.8): 0.9319851643194025
(2.3, 4.81): 0.9138953097728764
(2.3, 4.82): 0.8961585288743781
(2.3, 4.83): 0.8787685674423286
(2.3, 4.84): 0.8617192722598165
(2.3, 4.85): 0.8450045896389021
(2.3, 4.86): 0.8286185639997748
(2.3, 4.87): 0.8125553364654513
(2.3, 4.88): 0.7968091434750497
(2.3, 4.89): 0.7813743154092676
(2.3, 4.9): 0.7662452752345648
(2.3, 4.91): 0.7514165371610718
(2.3, 4.92): 0.7368827053170774
(2.3, 4.93): 0.7226384724399413
(2.3, 4.94): 0.7086786185790631
(2.3, 4.95): 0.694998009817921
(2.3, 4.96): 0.6815915970092644
(2.3, 4.97): 0.668454414526605
(2.3, 4.98): 0.6555815790286047
(2.3, 4.99): 0.6429682882406053
(2.3, 5.0): 0.6306098197503103
