Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: vasp
size: (1, 1, 1)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant (a,c)/Ang: Energy/eV
----------------------------------------------
(2.8, 4.934): -3.17031236
(2.8, 4.935): -3.17049558
(2.8, 4.936): -3.170660705
(2.8, 4.937): -3.170833405
(2.8, 4.938): -3.171009005
(2.8, 4.939): -3.171181075
(2.8, 4.94): -3.171347575
(2.8, 4.941): -3.17150301
(2.8, 4.942): -3.1716565
(2.8, 4.943): -3.171842285
(2.8, 4.944): -3.172002985
(2.8, 4.945): -3.172176245
(2.8, 4.946): -3.172332475
(2.8, 4.947): -3.17251149
(2.8, 4.948): -3.172669405
(2.8, 4.949): -3.1728109
(2.8, 4.95): -3.17296473
(2.8, 4.951): -3.173113565
(2.8, 4.952): -3.173252935
(2.8, 4.953): -3.173407405
(2.8, 4.954): -3.17356695
(2.8, 4.955): -3.173719125
(2.8, 4.956): -3.17388045
(2.8, 4.957): -3.174035775
(2.8, 4.958): -3.174180635
(2.8, 4.959): -3.174320025
(2.8, 4.96): -3.17446102
(2.8, 4.961): -3.17461783
(2.8, 4.962): -3.17475231
(2.8, 4.963): -3.174906755
(2.8, 4.964): -3.17503797
(2.8, 4.965): -3.17519341
(2.8, 4.966): -3.17534116
(2.8, 4.967): -3.175471165
(2.8, 4.968): -3.17561049
(2.8, 4.969): -3.17574067
(2.8, 4.97): -3.17588113
(2.8, 4.971): -3.176022715
(2.8, 4.972): -3.176144405
(2.8, 4.973): -3.176257355
(2.8, 4.974): -3.17639261
(2.8, 4.975): -3.17652119
(2.8, 4.976): -3.17664275
(2.8, 4.977): -3.176765185
(2.8, 4.978): -3.17688602
(2.8, 4.979): -3.17699964
(2.8, 4.98): -3.177112995
(2.8, 4.981): -3.17724
(2.8, 4.982): -3.177347875
(2.8, 4.983): -3.17746533
(2.8, 4.984): -3.17757288
(2.8, 4.985): -3.17767101
(2.8, 4.986): -3.177768265
(2.8, 4.987): -3.177879585
(2.8, 4.988): -3.17796812
(2.8, 4.989): -3.17806584
(2.8, 4.99): -3.178161005
(2.8, 4.991): -3.178258735
(2.8, 4.992): -3.178360045
(2.8, 4.993): -3.178468035
(2.8, 4.994): -3.17856797
(2.8, 4.995): -3.17865597
(2.8, 4.996): -3.1787383
(2.8, 4.997): -3.1788226
(2.8, 4.998): -3.178919805
(2.8, 4.999): -3.178997775
(2.8, 5.0): -3.179086215
(2.8, 5.001): -3.17915381
(2.8, 5.002): -3.179217655
(2.8, 5.003): -3.17929694
(2.8, 5.004): -3.17938452
(2.8, 5.005): -3.17946146
(2.8, 5.006): -3.179544705
(2.8, 5.007): -3.17962636
(2.8, 5.008): -3.179696195
(2.8, 5.009): -3.17976316
(2.8, 5.01): -3.179826815
(2.8, 5.011): -3.1799086
(2.8, 5.012): -3.179974685
(2.8, 5.013): -3.180029905
(2.8, 5.014): -3.180076725
(2.8, 5.015): -3.180134495
(2.8, 5.016): -3.18018639
(2.8, 5.017): -3.18024585
(2.8, 5.018): -3.180303035
(2.8, 5.019): -3.18035183
(2.8, 5.02): -3.180403245
(2.8, 5.021): -3.180451975
(2.8, 5.022): -3.180501605
(2.8, 5.023): -3.1805452
(2.8, 5.024): -3.18058598
(2.8, 5.025): -3.180629185
(2.8, 5.026): -3.180667195
(2.8, 5.027): -3.180735335
(2.8, 5.028): -3.180769715
(2.8, 5.029): -3.180806625
(2.8, 5.03): -3.180854635
(2.8, 5.031): -3.18089351
(2.8, 5.032): -3.180934405
(2.8, 5.033): -3.180921955
(2.8, 5.034): -3.180944395
(2.8, 5.035): -3.180962855
(2.8, 5.036): -3.180996455
(2.8, 5.037): -3.18102263
(2.8, 5.038): -3.181047345
(2.8, 5.039): -3.1810765
