Symbol: Au
Lattice_type: HexagonalClosedPacked
calculator: <asap.RGL object at 0x0x7ff3f5535150>
size: (28, 28, 28)
directions: []
miller: []
Lattice Constant Parameters: ['a', 'c']

Lattice Constant Results: 

Lattice constant/Ang: Energy/eV
----------------------------------------------
(2.3, 5.6): 0.21635171471477174
(2.3, 5.7): 0.18737213860025032
(2.3, 5.8): 0.16480148127145752
(2.3, 5.9): 0.14742869437796285
(2.3, 6.0): 0.134252164057569
(2.4, 3.0): 17.694510609660824
(2.4, 3.1): 14.768288553788716
(2.4, 3.2): 12.235969267933926
(2.4, 3.3): 10.051116725134795
(2.4, 3.4): 8.17208472825479
(2.4, 3.5): 6.561470602537485
(2.4, 3.6): 5.185700512498849
(2.4, 3.7): 4.0146947313645525
(2.4, 3.8): 3.021580907021422
(2.4, 3.9): 2.182436208382531
(2.4, 4.0): 1.4760474663433851
(2.4, 4.1): 0.8836835884140781
(2.4, 4.2): 0.3888776729291199
(2.4, 4.3): -0.022781917396448314
(2.4, 4.4): -0.3638512713969173
(2.4, 4.4): -0.3638512713969173
(2.4, 4.41): -0.39450847062652744
(2.4, 4.42): -0.42457992593022403
(2.4, 4.43): -0.4540755203661959
(2.4, 4.44): -0.4830049919582955
(2.4, 4.45): -0.5113779354012952
(2.4, 4.46): -0.5392038037552619
(2.4, 4.47): -0.5664919101275382
(2.4, 4.48): -0.593251429343354
(2.4, 4.49): -0.6194913996030781
(2.4, 4.5): -0.6452207241293284
(2.4, 4.51): -0.6704481728012349
(2.4, 4.52): -0.6951823837754916
(2.4, 4.53): -0.719431865096629
(2.4, 4.54): -0.743204996294663
(2.4, 4.55): -0.766510029970077
(2.4, 4.56): -0.7893550933668231
(2.4, 4.57): -0.8117481899326828
(2.4, 4.58): -0.8336972008677815
(2.4, 4.59): -0.8552098866597799
(2.4, 4.6): -0.8762938886072497
(2.4, 4.61): -0.896956730330203
(2.4, 4.62): -0.9172058192683591
(2.4, 4.63): -0.937048448166707
(2.4, 4.64): -0.9564917965484119
(2.4, 4.65): -0.9755429321745567
(2.4, 4.66): -0.994208812493383
(2.4, 4.67): -1.0124962860731825
(2.4, 4.68): -1.0304120940271295
(2.4, 4.69): -1.0479628714202698
(2.4, 4.7): -1.0651551486699669
(2.4, 4.71): -1.0819953529268844
(2.4, 4.72): -1.0984898094489226
(2.4, 4.73): -1.1146447429588637
(2.4, 4.74): -1.1304662789922306
(2.4, 4.75): -1.1459604452296523
(2.4, 4.76): -1.1611331728169152
(2.4, 4.77): -1.1759902976773526
(2.4, 4.78): -1.1905375618025495
(2.4, 4.79): -1.2047806145382054
(2.4, 4.8): -1.218725013853983
(2.4, 4.81): -1.23237622760108
(2.4, 4.82): -1.2457396347585623
(2.4, 4.83): -1.258820526664096
(2.4, 4.84): -1.2716241082361277
(2.4, 4.85): -1.2841554991791704
(2.4, 4.86): -1.2964197351816078
(2.4, 4.87): -1.3084217690975652
(2.4, 4.88): -1.3201664721162982
(2.4, 4.89): -1.331658634919875
(2.4, 4.9): -1.3429029688322878
(2.4, 4.91): -1.35390410694842
(2.4, 4.92): -1.3646666052569492
(2.4, 4.93): -1.3751949437501703
(2.4, 4.94): -1.3854935275207914
(2.4, 4.95): -1.3955666878429667
(2.4, 4.96): -1.4054186832509925
(2.4, 4.97): -1.4150537005948565
(2.4, 4.98): -1.4244758560893573
(2.4, 4.99): -1.4336891963554255
(2.4, 5.0): -1.4426976994381902
(2.4, 5.1): -1.5223448194624498
(2.4, 5.2): -1.5854124408760166
(2.4, 5.3): -1.6348951145005863
(2.4, 5.4): -1.673296813076894
(2.4, 5.5): -1.7027037327231265
(2.4, 5.6): -1.7248477535107196
(2.4, 5.7): -1.7411614292944568
(2.4, 5.8): -1.7528253762426491
(2.4, 5.9): -1.760808904782629
(2.4, 6.0): -1.7659046969290113
(2.5, 3.0): 12.879195565127674
(2.5, 3.1): 10.465279111609595
(2.5, 3.2): 8.377781755673412
(2.5, 3.3): 6.578430051798857
(2.5, 3.4): 5.032958860881773
(2.5, 3.5): 3.710590891027238
(2.5, 3.6): 2.583659223047021
(2.5, 3.7): 1.6273176830095724
(2.5, 3.8): 0.8193042195931631
(2.5, 3.9): 0.13973581916937147
(2.5, 4.0): -0.42907780548286406
(2.5, 4.1): -0.9028089464712492
(2.5, 4.2): -1.2952787566823238
(2.5, 4.3): -1.618617813931918
(2.5, 4.4): -1.883420743955418
(2.5, 4.4): -1.8834207439554183
(2.5, 4.41): -1.9070472686834676
(2.5, 4.42): -1.9301900173754398
(2.5, 4.43): -1.9528573545543624
(2.5, 4.44): -1.9750575230028113
(2.5, 4.45): -1.996798645121564
(2.5, 4.46): -2.0180887242823
(2.5, 4.47): -2.038935646175712
(2.5, 4.48): -2.0593471801436327
(2.5, 4.49): -2.0793309805074163
(2.5, 4.5): -2.0988945878925556
(2.5, 4.51): -2.1180454305362626
(2.5, 4.52): -2.136790825596108
(2.5, 4.53): -2.1551379804401907
(2.5, 4.54): -2.1730939939378144
(2.5, 4.55): -2.1906658577403353
(2.5, 4.56): -2.207860457548476
(2.5, 4.57): -2.224684574375713
(2.5, 4.58): -2.241144885800166
(2.5, 4.59): -2.2572479672126047
(2.5, 4.6): -2.273000293050877
(2.5, 4.61): -2.2884082380259656
(2.5, 4.62): -2.3034780783443494
(2.5, 4.63): -2.318215992913163
(2.5, 4.64): -2.3326280645485387
(2.5, 4.65): -2.3467202811577152
(2.5, 4.66): -2.360498536930221
(2.5, 4.67): -2.3739686335102155
(2.5, 4.68): -2.387136281159816
(2.5, 4.69): -2.400007099918137
(2.5, 4.7): -2.4125866207457567
(2.5, 4.71): -2.4248802866613386
(2.5, 4.72): -2.436893453878222
(2.5, 4.73): -2.4486313929129744
(2.5, 4.74): -2.4600992897067027
(2.5, 4.75): -2.4713022467163377
(2.5, 4.76): -2.4822452840154137
(2.5, 4.77): -2.492933340369615
(2.5, 4.78): -2.5033712743134715
(2.5, 4.79): -2.513563865217346
(2.5, 4.8): -2.523515814336644
(2.5, 4.81): -2.5332317458587985
(2.5, 4.82): -2.5427162079422985
(2.5, 4.83): -2.5519736737405623
(2.5, 4.84): -2.561008542420411
(2.5, 4.85): -2.5698251401708023
(2.5, 4.86): -2.57842772119976
(2.5, 4.87): -2.586820468723899
(2.5, 4.88): -2.595007495949954
(2.5, 4.89): -2.602992847044211
(2.5, 4.9): -2.610780498093144
(2.5, 4.91): -2.6183743580588916
(2.5, 4.92): -2.625778269716797
(2.5, 4.93): -2.632996010589646
(2.5, 4.94): -2.640031293874454
(2.5, 4.95): -2.646887769354306
(2.5, 4.96): -2.6535690243044026
(2.5, 4.97): -2.6600785843903902
(2.5, 4.98): -2.666419914548846
(2.5, 4.99): -2.6725964198704473
(2.5, 5.0): -2.6786114464674933
(2.5, 5.1): -2.730576049005265
(2.5, 5.2): -2.769667481169723
(2.5, 5.3): -2.7983847633547945
(2.5, 5.4): -2.818804040649411
(2.5, 5.5): -2.832641539033627
(2.5, 5.6): -2.841308746869624
(2.5, 5.7): -2.845960433697697
(2.5, 5.8): -2.8475361532289227
(2.5, 5.9): -2.846795887377081
(2.5, 6.0): -2.8443504774741517
(2.6, 3.0): 9.128494252615322
(2.6, 3.1): 7.148956662126185
(2.6, 3.2): 5.439461836234952
(2.6, 3.3): 3.9683684261688983
(2.6, 3.4): 2.7074514806837424
(2.6, 3.5): 1.6313919488986657
(2.6, 3.6): 0.7174197183426385
(2.6, 3.7): -0.05494771872104668
(2.6, 3.8): -0.7041081761504587
(2.6, 3.9): -1.2465426972598466
(2.6, 4.0): -1.696962861837707
(2.6, 4.1): -2.0684459610773467
(2.6, 4.2): -2.3725627661735724
(2.6, 4.3): -2.619500269724098
(2.6, 4.4): -2.8181803576226097
(2.6, 4.4): -2.8181803576226097
(2.6, 4.41): -2.835702775868413
(2.6, 4.42): -2.8528283653240285
(2.6, 4.43): -2.8695641959893687
(2.6, 4.44): -2.885917236115395
(2.6, 4.45): -2.9018943532690353
(2.6, 4.46): -2.9175023154020336
(2.6, 4.47): -2.932747791907808
(2.6, 4.48): -2.9476373546867727
(2.6, 4.49): -2.9621774791878077
(2.6, 4.5): -2.9763745454547936
(2.6, 4.51): -2.9902348391762748
(2.6, 4.52): -3.0037645527081596
(2.6, 4.53): -3.016969786113582
(2.6, 4.54): -3.0298565481826922
(2.6, 4.55): -3.0424307574512355
(2.6, 4.56): -3.054698243217781
(2.6, 4.57): -3.066664746547538
(2.6, 4.58): -3.078335921273689
(2.6, 4.59): -3.0897173350050444
(2.6, 4.6): -3.100814470099928
(2.6, 4.61): -3.111632724663816
(2.6, 4.62): -3.122177413526692
(2.6, 4.63): -3.1324537692126153
(2.6, 4.64): -3.142466942909866
(2.6, 4.65): -3.152222005429078
(2.6, 4.66): -3.161723948167249
(2.6, 4.67): -3.1709776840466812
(2.6, 4.68): -3.179988048463982
(2.6, 4.69): -3.1887598002253466
(2.6, 4.7): -3.1972976224812766
(2.6, 4.71): -3.205606123642723
(2.6, 4.72): -3.213689838307199
(2.6, 4.73): -3.2215532281695887
(2.6, 4.74): -3.2292006829221647
(2.6, 4.75): -3.2366365211591845
(2.6, 4.76): -3.2438649912689157
(2.6, 4.77): -3.250890272317545
(2.6, 4.78): -3.2577164749302945
(2.6, 4.79): -3.2643476421620994
(2.6, 4.8): -3.270787750369972
(2.6, 4.81): -3.277040710062329
(2.6, 4.82): -3.283110366767262
(2.6, 4.83): -3.289000501863317
(2.6, 4.84): -3.294714833427859
(2.6, 4.85): -3.300257017071187
(2.6, 4.86): -3.305630646755169
(2.6, 4.87): -3.3108392556239656
(2.6, 4.88): -3.3158863168038133
(2.6, 4.89): -3.320775244220925
(2.6, 4.9): -3.325509393391879
(2.6, 4.91): -3.3300920622205
(2.6, 4.92): -3.3345264917805135
(2.6, 4.93): -3.338815867093847
(2.6, 4.94): -3.342963317908142
(2.6, 4.95): -3.3469719194519194
(2.6, 4.96): -3.350844693198779
(2.6, 4.97): -3.3545846076164865
(2.6, 4.98): -3.3581945789118945
(2.6, 4.99): -3.361677471763416
(2.6, 5.0): -3.365036100057633
(2.6, 5.1): -3.392371995374519
(2.6, 5.2): -3.4100265018859743
(2.6, 5.3): -3.420082155007003
(2.6, 5.4): -3.424255586506495
(2.6, 5.5): -3.423951870667037
(2.6, 5.6): -3.4203125308237623
(2.6, 5.7): -3.4142575862762934
(2.6, 5.8): -3.406522079358803
(2.6, 5.8): -3.4065220793588034
(2.6, 5.9): -3.397687560231917
(2.6, 5.9): -3.3976875602319185
(2.6, 6.0): -3.3882090242120335
(2.6, 6.0): -3.3882090242120335
(2.61, 3.0): 8.801517437755468
(2.61, 3.1): 6.8615396453093265
(2.61, 3.2): 5.1865113033064825
(2.61, 3.3): 3.7453808024411
(2.61, 3.4): 2.51046244815282
(2.61, 3.5): 1.4569263327589228
(2.61, 3.6): 0.5624427333464238
(2.61, 3.7): -0.1930771128983023
(2.61, 3.8): -0.8276812703251949
(2.61, 3.9): -1.3575420148386763
(2.61, 4.0): -1.7970999088709392
(2.61, 4.1): -2.159195643504364
(2.61, 4.2): -2.4551944678979862
(2.61, 4.3): -2.695105659833637
(2.61, 4.4): -2.887698053388861
(2.61, 4.41): -2.904658096075571
(2.61, 4.42): -2.921229246643804
(2.61, 4.43): -2.937418456658581
(2.61, 4.44): -2.953232577766149
(2.61, 4.45): -2.968678362744131
(2.61, 4.46): -2.9837624665349782
(2.61, 4.47): -2.998491447287068
(2.61, 4.48): -3.012871767376945
(2.61, 4.49): -3.0269097944502885
(2.61, 4.5): -3.040611802424851
(2.61, 4.51): -3.0539839725178575
(2.61, 4.52): -3.067032394257844
(2.61, 4.53): -3.079763066481921
(2.61, 4.54): -3.092181898341302
(2.61, 4.55): -3.1042947103005036
(2.61, 4.56): -3.1161072351176378
(2.61, 4.57): -3.127625118842001
(2.61, 4.58): -3.138853921780504
(2.61, 4.59): -3.14979911948123
(2.61, 4.6): -3.1604661036981123
(2.61, 4.61): -3.170860183353141
(2.61, 4.62): -3.18098658549828
(2.61, 4.63): -3.1908504562591444
(2.61, 4.64): -3.2004568617889686
(2.61, 4.65): -3.209810789206319
(2.61, 4.66): -3.218917147529009
(2.61, 4.67): -3.2277807686008195
(2.61, 4.68): -3.2364064080181336
(2.61, 4.69): -3.2447987460466337
(2.61, 4.7): -3.2529623885268597
(2.61, 4.71): -3.2609018677862296
(2.61, 4.72): -3.2686216435330238
(2.61, 4.73): -3.276126103752966
(2.61, 4.74): -3.283419565591969
(2.61, 4.75): -3.2905062762365964
(2.61, 4.76): -3.2973904137915624
(2.61, 4.77): -3.304076088148413
(2.61, 4.78): -3.3105673418387167
(2.61, 4.79): -3.316868150898413
(2.61, 4.8): -3.322982425716764
(2.61, 4.81): -3.328914011871453
(2.61, 4.82): -3.33466669096858
(2.61, 4.83): -3.340244181478641
(2.61, 4.84): -3.3456501395484737
(2.61, 4.85): -3.350888159824697
(2.61, 4.86): -3.3559617762657714
(2.61, 4.87): -3.3608744629388827
(2.61, 4.88): -3.36562963482458
(2.61, 4.89): -3.3702306486003804
(2.61, 4.9): -3.374680803427251
(2.61, 4.91): -3.378983341732852
(2.61, 4.92): -3.383141449972703
(2.61, 4.93): -3.3871582593970087
(2.61, 4.94): -3.3910368468130687
(2.61, 4.95): -3.3947802353286867
(2.61, 4.96): -3.3983913951021374
(2.61, 4.97): -3.4018732440753188
(2.61, 4.98): -3.405228648706566
(2.61, 4.99): -3.4084604246924415
(2.61, 5.0): -3.41157133768607
(2.61, 5.1): -3.4366070674252733
(2.61, 5.2): -3.452253624646618
(2.61, 5.3): -3.460555902187664
(2.61, 5.4): -3.463198071803436
(2.61, 5.5): -3.461557124617057
(2.61, 5.6): -3.45675020918212
(2.61, 5.7): -3.4496761256328745
(2.61, 5.8): -3.4410513960636484
(2.61, 5.9): -3.431441371318848
(2.61, 6.0): -3.421286854033612
(2.62, 3.0): 8.482381054850444
(2.62, 3.1): 6.5812977321462425
(2.62, 3.2): 4.940163095394823
(2.62, 3.3): 3.528502935343987
(2.62, 3.4): 2.3191598981099446
(2.62, 3.5): 1.2877836341465823
(2.62, 3.6): 0.4124764504622319
(2.62, 3.7): -0.3264639175262719
(2.62, 3.8): -0.9467420330600936
(2.62, 3.9): -1.4642267679168313
(2.62, 4.0): -1.893092254280003
