Symbol: Au
Lattice_type: FaceCenteredCubic
calculator: <asap.RGL object at 0x0x2fcab40>
size: (16, 16, 16)
directions: []
miller: []
Lattice Constant Parameters: ['c']

Lattice Constant Results: 

lattice constant/Ang: energy/eV (Volume (Ang^3 per atom))
----------------------------------------------
4.11: -3.819540775990661 (17.35663275)
4.111: -3.819130077848582 (17.369304908)
4.112: -3.8187103762975556 (17.381983232)
4.113: -3.8182817054835834 (17.394667724)
4.114: -3.8178440994448524 (17.407358386)
4.115: -3.817397592123712 (17.420055219)
4.116: -3.8169422173654493 (17.432758224)
4.117: -3.8164780089067967 (17.445467403)
4.118: -3.8160050003939596 (17.458182758)
4.119: -3.8155232253703004 (17.47090429)
4.12: -3.815032717277512 (17.483632)
4.121: -3.8145335094653112 (17.49636589)
4.122: -3.814025635175857 (17.509105962)
4.123: -3.8135091275612485 (17.521852217)
4.124: -3.8129840196706914 (17.534604656)
4.125: -3.812450344461402 (17.547363281)
4.126: -3.8119081347836006 (17.560128094)
4.127: -3.811357423402728 (17.572899096)
4.128: -3.8107982429792235 (17.585676288)
4.129: -3.8102306260772116 (17.598459672)
4.13: -3.8096546051678177 (17.61124925)
4.131: -3.809070212626465 (17.624045023)
4.132: -3.8084774807266553 (17.636846992)
4.133: -3.8078764416510316 (17.649655159)
4.134: -3.8072671274926333 (17.662469526)
4.135: -3.806649570236885 (17.675290094)
4.136: -3.806023801785619 (17.688116864)
4.137: -3.8053898539380273 (17.700949838)
4.138: -3.804747758409505 (17.713789018)
4.139: -3.80409754680841 (17.726634405)
4.14: -3.803439250658286 (17.739486)
4.141: -3.802772901386565 (17.752343805)
4.142: -3.802098530331555 (17.765207822)
4.143: -3.8014161687318815 (17.778078052)
4.144: -3.800725847737705 (17.790954496)
4.145: -3.8000275984071923 (17.803837156)
4.146: -3.7993214517030847 (17.816726034)
4.147: -3.7986074384974944 (17.829621131)
4.148: -3.797885589576541 (17.842522448)
4.149: -3.7971559356243123 (17.855429987)
4.15: -3.7964185072432923 (17.86834375)
4.151: -3.7956733349420864 (17.881263738)
4.152: -3.794920449137765 (17.894189952)
4.153: -3.7941598801552416 (17.907122394)
4.154: -3.793391658232938 (17.920061066)
4.155: -3.7926158135163837 (17.933005969)
4.156: -3.7918323760673753 (17.945957104)
4.157: -3.7910413758494634 (17.958914473)
4.158: -3.7902428427421118 (17.971878078)
4.159: -3.7894368065391064 (17.98484792)
4.16: -3.7886232969394746 (17.997824)
4.161: -3.7878023435554464 (18.01080632)
4.162: -3.786973975913237 (18.023794882)
4.163: -3.7861382234523018 (18.036789687)
4.164: -3.785295115516066 (18.049790736)
4.165: -3.7844446813706893 (18.062798031)
4.166: -3.7835869501937816 (18.075811574)
4.167: -3.7827219510658585 (18.088831366)
4.168: -3.78184971299378 (18.101857408)
4.169: -3.780970264890233 (18.114889702)
4.17: -3.7800836355875487 (18.12792825)
4.171: -3.7791898538202955 (18.140973053)
4.172: -3.7782889482536 (18.154024112)
4.173: -3.777380947452914 (18.167081429)
4.174: -3.77646587990648 (18.180145006)
